"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Chelizi","ThunderTalk Gaming","Top",38,"32%","32%",80,112,176,2.3,"60.4%","18.9%","18.7%","18%",-37,-179,-4,7.8,"24.1%",382,"21.5%",,239,"22.0%",,0.45,0.19,0.15
"COLD","Oh My God","Support",39,"28%","33%",23,147,266,2,"71.7%","5.7%","24.7%","31%",-119,-78,0.2,1.1,"2.7%",153,"8.8%",,92,"8.7%",,1.41,0.51,0.27
"Crisp","FunPlus Phoenix","Support",35,"69%","46%",28,103,352,3.7,"66.9%","4.9%","23.6%","37%",42,-101,-2.9,1.1,"2.6%",142,"6.3%",,116,"9.0%",,1.59,0.55,0.32
"Cryin","Royal Never Give Up","Middle",37,"78%","46%",115,66,295,6.2,"68.7%","19.3%","17.0%","22%",15,24,-1.6,8.8,"24.5%",513,"25.9%",,282,"22.5%",,0.42,0.13,0.21
"Cube","Rare Atom","Top",36,"58%","56%",78,99,174,2.5,"53.5%","16.6%","21.4%","22%",-74,-33,-2.1,7.8,"22.3%",448,"22.2%",,238,"20.6%",,0.53,0.2,0.18
"Doinb","FunPlus Phoenix","Middle",35,"69%","51%",112,74,275,5.2,"68.1%","19.7%","16.9%","26%",129,-12,-0.6,8.6,"25.0%",540,"24.2%",,288,"22.6%",,0.47,0.13,0.19
"Elk","Team WE","ADC",36,"61%","42%",158,85,194,4.1,"69.0%","31.0%","19.7%","22%",-24,-21,0.3,9.6,"32.2%",553,"29.1%",,318,"26.5%",,0.48,0.19,0.35
"Eric","Oh My God","ADC",37,"30%","57%",134,102,143,2.7,"71.8%","34.7%","18.4%","30%",-119,7,-1.9,9.5,"32.3%",467,"26.6%",,293,"28.0%",,0.66,0.15,0.45
"fate","Rogue Warriors","Support",7,"0%","57%",2,36,28,0.8,"68.2%","4.5%","26.7%","14%",-212,-98,-0.4,1.3,"3.2%",120,"9.7%",,76,"8.7%",,1.27,0.55,0.29
"fearness","LGD Gaming","Top",33,"33%","52%",57,91,149,2.3,"61.5%","17.0%","19.8%","18%",-184,-103,-3.5,7.6,"23.7%",413,"23.8%",,227,"21.9%",,0.34,0.13,0.21
"Feikun","ThunderTalk Gaming","Middle",5,"20%","40%",4,15,13,1.1,"63.0%","14.8%","21.1%","0%",-84,-221,-3.4,8.3,"22.3%",361,"25.0%",,229,"23.3%",,0.43,0.22,0.37
"Flandre","EDward Gaming","Top",36,"78%","39%",85,62,217,4.9,"57.0%","16.0%","19.5%","19%",-26,10,-3.1,8.3,"24.5%",413,"21.3%",,263,"21.4%",,0.24,0.15,0.3
"Flora","LGD Gaming","Jungle",4,"25%","50%",5,10,17,2.2,"71.0%","16.1%","18.9%","50%",-188,-43,5.3,6,"16.7%",260,"16.6%",,182,"18.7%",,0.22,0.18,0.28
"FoFo","Rare Atom","Middle",36,"58%","61%",109,64,229,5.3,"71.8%","23.1%","13.8%","17%",78,87,4.9,8.9,"25.4%",589,"29.3%",,276,"23.7%",,0.4,0.11,0.24
"Forge","Rogue Warriors","Middle",34,"9%","50%",54,113,150,1.8,"69.6%","18.4%","19.2%","6%",-197,-112,-0.8,8,"24.0%",433,"26.6%",,224,"23.2%",,0.41,0.17,0.2
"GALA","Royal Never Give Up","ADC",37,"78%","43%",205,57,205,7.2,"68.7%","34.3%","14.7%","22%",-70,-51,0.2,10.4,"34.1%",497,"25.3%",,345,"27.7%",,0.33,0.11,0.37
"Garvey","LGD Gaming","ADC",5,"20%","40%",19,19,11,1.6,"71.4%","45.2%","27.5%","20%",-377,-185,-5.6,8.9,"27.3%",351,"21.8%",,285,"25.8%",,0.37,0.1,0.2
"Garvey","LGD Gaming","Top",4,"0%","25%",11,14,22,2.4,"57.9%","19.3%","16.1%","50%",-384,-409,-16.3,6.6,"23.5%",359,"21.8%",,222,"20.7%",,0.37,0.18,0.22
"H4cker","eStar","Jungle",36,"19%","42%",82,97,182,2.7,"70.2%","21.8%","17.4%","50%",-17,34,0.9,6.3,"17.3%",276,"15.8%",,207,"20.0%",,0.39,0.31,0.42
"Hang","Rare Atom","Support",36,"58%","42%",39,95,281,3.4,"67.9%","8.3%","20.5%","22%",83,-34,0.3,1.2,"2.6%",149,"7.5%",,104,"8.8%",,1.76,0.48,0.4
"Hans SamD","ThunderTalk Gaming","ADC",38,"32%","58%",140,123,158,2.4,"70.3%","33.0%","20.6%","21%",-32,-13,-4.3,9.6,"31.4%",433,"24.3%",,301,"27.1%",,0.46,0.16,0.42
